state,State,goal,pledged,backers_count,campaign_length,decision_timing,spotlight,staff_pick,category_name,parent_category,usd_pledged,Blurb length,Blurb caps,Name Length,Name Caps,created_at,deadline,launched_at,fx_rate,static_usd_rate,state_changed_at,name,country,blurb,category,,
canceled,0,100000,0,0,2592000,1369,FALSE,FALSE,"food/food trucks""",food,0.0,125,2,35,4,1442140923,1444740089,1442148089,0.75574365,0.754108,1442149458,Project Bearnaise Trucks (Canceled),CA,"Ever had chicken fingers smothered in bearnaise sauce, resting on a bed of your favorite rice? We need these meals on wheels.","{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
successful,1,5000,6975,67,2592000,2592000,TRUE,TRUE,"publishing/poetry""",publishing,5571.5935905,121,8,48,3,1503108857,1507449596,1504857596,0.72636675,0.79879478,1507449596,'52' Linen bound book of poetry and watercolours,AU,"With a beautiful design layout by Hello Hello Studio, '52' contains a poem for each week of the year and 32 watercolours.","{""id"":50,""name"":""Poetry"",""slug"":""publishing/poetry"",""position"":12,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/poetry""}}}",,
successful,1,500,2389,38,2595600,2595600,TRUE,TRUE,"art/painting""",art,2389.0,121,3,15,3,1476219615,1479756451,1477160851,1,1,1479756451,Pen.Paint.Paper,US,"I illustrate. I draw my inspiration from nature, solitude, and the sky. I try to illustrate the gentler emotions in life.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
successful,1,15000,15950.17,30,1814400,1814400,TRUE,FALSE,"music/rock""",music,2380.1566216701,61,5,30,5,1528449048,1581069369,1579254969,0.15799139,0.14922453,1581069369,Boys From Heaven - Debut Album,DK,Debut album from Copenhagen-based rock band Boys From Heaven.,"{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}",,
failed,0,40000,0,0,2588400,2588401,FALSE,FALSE,"food/drinks""",food,0.0,132,10,23,3,1456624099,1460176588,1457588188,1,1,1460176589,Pasion de Mujer Tequila,US,Made from 100% Blue Agave we bring you the first Pink Grapefruit infused Tequila in the world! It is vibrant pink & taste delicious!,"{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}",,
failed,0,20000,95,3,5120486,5120486,FALSE,FALSE,"food/food trucks""",food,95.0,127,4,26,23,1429659118,1438142340,1433021854,1,1,1438142340,GULLAH GEECHIE FRIED SWEET,US,Gullah Geechie Fried Sweet will be a mobile kitchen whipping up lowcountry-soul food favorites that are seasoned to perfection.,"{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
failed,0,2000,0,0,2650721,2650721,FALSE,FALSE,"publishing/young adult""",publishing,0.0,49,1,31,1,1450138338,1453335120,1450684399,0.72636675,0.71749394,1453335120,Pirawolf- help bring it to life,AU,Take a chance & step into a unique fantasy novel!,"{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",,
successful,1,15000,16308,128,2567570,2567570,TRUE,FALSE,"design/product design""",design,20492.94656592,111,3,47,32,1592487943,1597788000,1595220430,1.29135567,1.25661924,1597788000,FRANKI RYKER: LUXURY UNIQUE JEWELLERY (jewelry),GB,"Interchangeable, eclectic and personalised pieces, inspired by nature. Unique in quality. Unstoppable in style.","{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
failed,0,28000,250,3,2592000,2592000,FALSE,FALSE,"theater/immersive""",theater,250.0,97,3,6,1,1401107011,1403877413,1401285413,1,1,1403877413,Awaken,US,"Awaken will be a totally immersive, custom built, haunted house experience in the Tampa Bay area.","{""id"":283,""name"":""Immersive"",""slug"":""theater/immersive"",""position"":4,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/immersive""}}}",,
failed,0,1000,0,0,3364469,3364469,FALSE,FALSE,"journalism""",journalism,0.0,39,2,39,2,1493658745,1497546720,1494182251,1.1753395,1.09969989,1497546720,Primera vuelta a España en crowdfunding,ES,Primera vuelta a España en crowdfunding,"{""id"":13,""name"":""Journalism"",""slug"":""journalism"",""position"":10,""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism""}}}",,
failed,0,5000,545,8,3891600,3891600,FALSE,FALSE,"photography/fine art""",photography,545.0,134,15,51,4,1477517446,1481989460,1478097860,1,1,1481989460,Shadows of Silence - John Demos photography exhibit,US,"John Demos is bringing his classic body of work ""Shadows of Silence"", to the Leica Gallery in Washington, DC, March and April of 2017.","{""id"":276,""name"":""Fine Art"",""slug"":""photography/fine art"",""position"":2,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/fine%20art""}}}",,
successful,1,1000,1000,9,5184000,5184050,TRUE,FALSE,"art/painting""",art,1000.0,134,9,60,4,1427337772,1432736064,1427552064,1,1,1432736114,Boundaries: an exhibition of new work by Sarah Kaiser-Amaral,US,"I'm putting together a solo show of my new paintings, and it will open on July 11th, 2015. I am trying to raise money to publicize it.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
failed,0,10000,1455,60,3456000,3456002,FALSE,FALSE,"technology/gadgets""",technology,1455.0,127,2,35,6,1511202592,1516804880,1513348880,1,1,1516804882,Lower Back Pain Relief - BodyBloks!,US,BodyBloks is a manufacturer of innovative products that relieves body pain so people can live a more enjoyable and active life!,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}",,
failed,0,1450,287,12,4586966,4586966,FALSE,FALSE,"technology/gadgets""",technology,287.0,135,5,58,10,1531051462,1535931300,1531344334,1,1,1535931300,Magic Motor: Empowers a Passion for Science (STEM Project),US,Easy to build motor to teach children the principles of electricity and magnetism. STEM project that can be used by parents & teachers.,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}",,
successful,1,745,1395,29,2182902,2182903,TRUE,FALSE,"publishing/young adult""",publishing,1395.0,128,1,17,2,1464666850,1467773100,1465590198,1,1,1467773101,Becoming the Boss,US,"A young girl's journey of personal growth, both inspiring and intimate, written by a teen for other teens who want to shine big.","{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",,
failed,0,500,0,0,3354618,3354619,FALSE,FALSE,"publishing/young adult""",publishing,0.0,121,9,49,6,1508513172,1517072400,1513717782,1.29135567,1.33335644,1517072401,Enfield Literary Festival Presents: Reading Books,GB,Celebrating writing with Catherine Johnson and Alex Woolf leading workshops and talks for adults on Saturday 27th January,"{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",,
successful,1,2000,2143,35,864000,864000,TRUE,TRUE,"film & video/horror""",film & video,2143.0,135,1,36,5,1440781886,1444049247,1443185247,1,1,1444049247,"""Field of Screams"" Short Horror Film",US,"A woman tries to sell the baseball field she inherited from her parents at a young age, but the team isn’t ready to let it, or her, go…","{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}",,
successful,1,500,833,15,2678393,2678394,TRUE,FALSE,"art/painting""",art,833.0,58,1,28,6,1546298748,1549912260,1547233867,1,1,1549912261,Make 100: Animals in Acrylic,US,A collection of animals painted onto a full moon backdrop.,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
failed,0,15000,4521,86,2680558,2680559,FALSE,FALSE,"food/food trucks""",food,4521.0,124,12,42,7,1409016394,1412395140,1409714582,1,1,1412395141,BoDean's Smoked Chicken & Ribs Food Truck!,US,"BoDean's Smoked Chicken & Ribs is campaigning to start a BBQ food truck in Syracuse, New York. He need your support today!!!","{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
live,,2000,2362.29,55,2592000,1,FALSE,TRUE,"music/metal""",music,1803.4469052327,29,1,22,6,1593896905,1601423160,1598831160,0.75574365,0.76343163,1598831161,Hail The Void Debut LP,CA,Help us birth thine holy wax.,"{""id"":241,""name"":""Metal"",""slug"":""music/metal"",""position"":13,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/metal""}}}",,
successful,1,2100,16988.32,216,3196800,3196800,TRUE,FALSE,"design/product design""",design,11173.218403766400,135,2,47,5,1581470502,1587119057,1583922257,0.72636675,0.65770002,1587119057,Final Bowl: Pocketable-Collapsible Container 🥣,AU,"Lightweight containers, microwave and freezer safe. Armed for your on-the-go lifestyle, and against our bout with single use plastic ♻️","{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
successful,1,7000,7156,68,5184000,5184000,TRUE,FALSE,"music""",music,7156.0,44,7,21,3,1544420991,1558282405,1553098405,1,1,1558282405,Camille Rae Comeback!,US,A Country/Americana EP of 5-7 original songs,"{""id"":14,""name"":""Music"",""slug"":""music"",""position"":11,""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music""}}}",,
successful,1,8000,9222,92,2915878,2915879,TRUE,FALSE,"film & video/horror""",film & video,11724.84379128,124,1,59,9,1551786963,1561806000,1558890122,1.29135567,1.27139924,1561806001,Tales Of The Creeping Death (Feature Film) Horror Anthology,GB,A horror/sci-fi feature film containing four short stories with a fifth to link them together to create a genre busting epic,"{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}",,
successful,1,1500,1925.37,42,3456000,3456001,TRUE,FALSE,"art/conceptual art""",art,1925.37,129,7,46,11,1304401839,1310330603,1306874603,1,1,1310330604,The Black Rock Roller Disco - Burning Man 2011,US,The Roller Disco brings great joy to thousands who come to Burning Man. Last year rain destroyed the floor.  We're rebuilding it.,"{""id"":20,""name"":""Conceptual Art"",""slug"":""art/conceptual art"",""position"":2,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/conceptual%20art""}}}",,
successful,1,1000,3078,78,2642443,2642443,TRUE,FALSE,"art/painting""",art,3078.0,133,13,55,9,1461949989,1466056740,1463414297,1,1,1466056740,"Dragons of the Earth, Sea, Sky and Stars: A Calendar II",US,"Dragons of the Earth, Sea, Sky, and Stars: a Calendar take 2! Featuring dragon watercolor art by Carla Morrow from DragonLady Studio.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
live,,5000,2060,16,2592000,2,FALSE,TRUE,"design/product design""",design,2440.5501036,75,1,51,9,1597145398,1602752445,1600160445,1.1753395,1.18473306,1600160447,NOTADESK - portable standing desk - Focus workspace,BE,Laptop/tablet stand & outdoor desk & lap desk & podium stand & laptop table,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
failed,0,5000,566,16,3173085,3173085,FALSE,FALSE,"technology/gadgets""",technology,729.01693714,44,2,14,2,1496935638,1503070020,1499896935,1.29135567,1.28801579,1503070020,Fidget Lighter,GB,Fidget Lighter- the lighter you fidget with!,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}",,
successful,1,4000,4819,64,2636764,2636822,TRUE,FALSE,"art/painting""",art,4819.0,96,13,19,3,1349329778,1369371600,1366734836,1,1,1369371658,The Puzzle Painting,US,Get a piece of The Puzzle Painting! How big this painting gets is up to YOU! Let's make it HUGE!,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
successful,1,40000,47450.450000000000,1110,2592000,2592001,TRUE,FALSE,"journalism""",journalism,47450.450000000000,130,7,57,10,1344823527,1347575189,1344983189,1,1,1347575190,A One Year Student Reporting Lab within Homicide Watch DC,US,Change the way crime is covered. Create a reporting lab within Homicide Watch DC to cover every murder in Washington for one year.,"{""id"":13,""name"":""Journalism"",""slug"":""journalism"",""position"":10,""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism""}}}",,
successful,1,20000,95399,3297,3459600,3459600,TRUE,FALSE,"technology/gadgets""",technology,95399.0,87,7,56,9,1411591844,1417064802,1413605202,1,1,1417064802,IllumiBowl Clip-On Toilet Night Light (Motion Activated),US,Set to any single color or color-changing. Worlds Coolest Motion Activated Night Light.,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}",,
failed,0,60000,0,0,1728000,1728000,FALSE,FALSE,"food/food trucks""",food,0.0,119,4,50,6,1505685341,1507510371,1505782371,0.04736045,0.05663348,1507510371,Food Truck Project | Victoria´s Juice & Sandwiches,MX,Negocio de comida saludable como sandwiches y jugos naturales. En busca de fondos para un Food Truck y equipo de cocina,"{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
